Comment,Score,Wing,Sentiment
I think he feels bad for how lucky he was and it makes me sad. I hope he knows that his pain and struggles were valid and I hope he doesn't suffer too much from survivors guilt.,0.94593847,C,positive
It breaks my heart so much what he had to endure! :( He's so strong and is such a good hearted man!,0.94470072,C,positive
"i have watched this for research five times, ernest is sublime, a real man, the real truth with all its nuance & character _translating as much as he can the terrible times that are still present

i wish the usc shoah foundation would delete all the scribblings by neo nazis, the very least these witnesses can be offered for their gift of telling for it to be respected

i had been a rigorous student of hilberg in concentrating only on perpetrators but these archives prove without question the verifiability of witnesses testimony, those from the same village & towns, the camps, it is clear that so few have ever really spoken i regard it as solid evidence, to be listened to attentively, to be trusted",0.97058964,C,positive
Thank you Ernest Lobet for sharing your story.  Thanks to those who took the time to record and interview and to share with us.,0.87646574,C,positive
"I am so thankful to all the men and women who took the time to record their testimony and the things that happened to them during the Second World War. It was a great privilege to hear their stories. These recordings will be of great value for generations to come.



And, I hope that we have learned from the past and that we, the people of Germany, take responsibility for what has happened to the Jewish people during the Third Reich.",0.93852353,C,positive
Just a beautiful mind. A man who has been introspective for many years. So truthful. Thinks in details. His smile is sooo beautiful.,0.97136164,C,positive
I love all of these and so grateful this was done and is available online,0.9574911,C,positive
Thank you so much for sharing your testimony. You are incredible.,0.770473,C,neutrally positive
So glad you have saved these memories.,0.92221886,C,positive
"Thank you for your testimony. 
God preserved you in times of horrific demonic times. 
Isaiah 53",0.5698638,C,neutral
God bless each and every person who endured the pain and suffering of these cruel wicked evil people....,0.49240035,C,neutral
I wish I could increase the volume and not struggle to hear these videos.,0.67641652,C,neutrally positive
what a courageous thing for Mr Lobet to do.,0.8751651,C,positive
Good day to all! Good day to AP Archive and thank you kindlly for sharing!_ We love President Ronald Reagan and We Love Nancy Reagan from all of our hearts! Very sincerlly! with Respect! T.G.,0.83996576,C,positive
She never recovered from his death -,0.92001534,C,positive
Well done my good and faithful son.  Come and rest with me.,0.8426944,C,positive
Wow what a beautiful blessed couple gone too soon,0.53210527,C,neutral
God bless America forever !,0.49953836,C,neutral
I'm missed you,0.7342608,C,neutrally positive
I CANT BELIEVE SOMEONE DID NOT PAINT THOSE STEPS,0.75502956,C,neutrally positive
RIP Nancy,0.56484288,C,neutral
Two of my favourite president of yours.....the kennedys and reagan....rip sweet lady...all tge good ones are gone....leaving the evil and horrid ones.....,0.49710748,C,neutral
At 0:57 is Nancy mugging for the camera?,0.37504289,C,neutrally negative
"Good Bye Ronnie you weren't a great president like so many think, but you will be missed.",0.76769036,C,neutrally positive
Why does he get a flag drapped coffin??? Zero military service during ww2...,0.55570078,C,neutral
Thank you so much for inviting me to speak! It was an honor.,0.81314117,C,positive
Big Pharma and the Food Industry never like a message that exposes the truth. Everyone should take control and find what work best for their health. Your message is powerful Mikhalia. Congratulations that you survived such a difficult journey. You are strong!,0.95333171,C,positive
"Growing up, I had nearly every symptom/issue that Mikhaila has describes,  minus the arthritis.  Switching to a low carb, mostly meat diet has completely changed this for me. It fixed the IBS issues, chronic itching and breaking out in hives , depression, psychosis, etc.  I'm an actual functional human being now.",0.91102529,C,positive
"Your father is helping more of us and you are starting this journey so well!  I believe many are benefiting from your speech and experience!  Thank you for sharing this with the world!  
More health and wellbeing to you and your family, Mikhail!",0.85241169,C,positive
"Very well written and executed speech! 1. Captivating with personal anecdote, balanced with plenty of well known facts and statistics from well respected and recent studies. 2. Well reasoned and well supported points about diet, evolution, medicine, and economic situations. 3. Sound logic - no fallacies (at least that I can tell), no personal attacks, no cheap evocations or emotional appeals. Very even-toned even while mentioning personal painful experiences. 4. Concise - no un-necessary information, no use of jargon or highly specialized terms (better than her father in that way lol!), almost no un-natural pausing, repeating, stuttering, or other fumbling with words. Flawless delivery! 5. Well-timed interjections of humor, as well as starting by sympathizing with a member of her opposition in order to ingratiate the audience. Overall a very original angle on this topic, and she's a brilliant speaker. Bravo!",0.9471516,C,positive
"This is eye-opening and compelling. I__e been ethically against meats for years though eat a little. I think I have to rethink my thinking. But a sidenote, it__ remarkable what she went through as a family as well wow. It__ amazing how we can all as a group think things and believe it__ true as I have. At the very least, this deserves attention",0.97434878,C,positive
Thank you for your efforts to shine the light on these issues.,0.72115451,C,neutrally positive
"I went through a similar, but much less severe, experience as Mikhaila.
Tried all kinds of diets but my condition just got worse and worse every day.
One day I had a steak, first time in a long time, and I immediately felt better and, most importantly, stopped feeling suicidal.",0.53081012,C,neutral
"I'm so sorry for all the pain and loss you've suffered at the hands of orthodox medicine but I thank God that you've found answers.  I'm a registered nurse in the US and started on the paleo diet about 9 years ago for many health issues.  That was just the start of my journey. This past year I started on keto/carnivore and I've lost almost 40 pounds.  That's not all I lost.  I lost my left hip pain, joint pains, major depression and anxiety.  I still do have issues to work out, but I'm hopeful now.",0.84389687,C,positive
Your family has saved a lot of people in the world . Personally I have been woken up by men like your father . A gift to mankind,0.89711976,C,positive
"Well done Mikhaila!  Your truth is comprensible when you consider the likely foods we have eaten in our long term evolution.  Nevertheless it is shocking to many.... after so much pushing for the grain and vegetarian focus and the marketing of convenience foods that are often mostly denatured junk.  I do believe you have found out something very significant to improve the health of the people, and that you do not have an agenda in profiting from the sale of manufactured products.",0.68518031,C,neutrally positive
"Can you image a society where obesity and mental health issues weren't big concerns?

Yes, any time prior to the 90s.",0.71298516,C,neutrally positive
"Incredible speech. I've been animal based (95% animal foods) for over 6 years now and honestly I can not imagine living any other way. Whenever I try to introduce modern vegetables or out of season fruit I literally feel aches, brain fog and generally lower mood whereas when I focus on eating large amounts of meat (500g to 1kg per day) I literally feel like my best self. We all must ask the question of: is the antimeat agenda pushed out of profit or will the top 1% also be foregoing their meat because it's objectively inferior? Deep down we all know the real answer. To imply we know more than 2 million years of evolutionary history is simply insane and arrogance to the highest order. Humans may be smart but time has already proven what our natural diet is. Mostly locally sourced high quality animal foods and (if tolerated) in-season local fruits + honey. To imply otherwise is to literally deny the effectiveness of our species specific diet over the last 2 million years.",0.14796305,C,negative
"I watched both.  I am mostly vegan, for health reasons, was pure vegan for about a year.  I have reintroduced meat back into my diet, but am still careful about what meat.  I can say, there is a loss of energy with being 100% vegan, at least for me.  Her arguement was very good and she addressed the health issues, which was a valid argument.  The opposition just blamed white supremacy, racism, this ism and that ism, but never addressed any real health argument, woefully short sighted and lacking in my opinion.",0.49644506,C,neutral
"These are such scientifically important points Mikhaila brought up all because of her rare experiences. It's also dangerous that people are trying to get us off meat -- dangerous for the brain. We developed brains BECAUSE of meat, and now there are people trying to stop us from eating it.",0.40514404,C,neutral
I did this for a few months in my 20s and the cellulitis went away. It was incredible.,0.91208303,C,positive
"It is not a question of meat bad/good, it is more to do with climate/culture and what the traditional population has eaten over the last few hundred years. Southern India have generally a vegetarian diet, they haven't had problems until recently when western eating habits have been introduced.  The climate is conducive to growing a fresh supply of fruit and veg all year round, you can pick and eat it on the same day, which is beneficial to the human system.  The problem we have now is it is either processed or flown halfway around the world.  Also, the soil quality has been reduced, so that a lot of the nutrients from the veg/fruit are of a lot lower standard than 50 years ago.",0.6856268,C,neutrally positive
"She looks well and healthy now! I am glad she found something that works.

It's not for everyone, and she is not saying that it should be.

She is just saying that further research should be done in this area.",0.74163014,C,neutrally positive
Thank you Mikhaila!! ___¥©meat heals! Well said! __,0.37061405,C,neutrally negative
"Her argument was logical, fact driven, but also extremely personal and relevant. One of the best arguments for keeping meat you'll ever hear.",0.87320048,C,positive
That awkward moment when your PhD is older than the guy you're debating,0.80591345,C,positive
The amount of respect Dawkins provides in his counter arguments is admirable on its own __,0.92150134,C,positive
"It's obvious Richard Dawkins wanted to give him a chance to defend his position so they could have a conversation. He opened it up for that and had no idea the man had to leave, which shut down the possibility for discussion while leaving Dawkins with somewhat of the last word. He didn't want that. He wanted an actual conversation. Incredible admirable.",0.88625467,C,positive
"I know a lot of people here don__ care for Brandon but I can__ help but feel so sorry for him. I__e been in that position before and it feels horrible. To feel yourself become so uncontrollably emotional by someone who is questioning your beliefs is a horrible feeling. I__ glad they pulled him out before he further humiliated himself but I also hope he analyzes his beliefs and realizes he__ been duped, on his own time of course.",0.5303148,C,neutral
Richard Dawkins's level of patience never stops to amaze me...,0.85227412,C,positive
"__ou should do your research"", said the pop singer to the professor of evolutionary biology; saved by the bell...",0.29714099,C,neutrally negative
"Dawkins listens so intently to what the other person is saying, a sign of true objectivity which is the essence of intelligence.  This man speaks with a depth of understanding that few achieve.",0.98244375,C,positive
"__an you play music for this segment?_
__ure_
__reat! Also here__ Richard Dawkins telling you why your religion is false in front of millions of people_",0.70616871,C,neutrally positive
"My favorite part was when Dawkins and Flowers absolutely disagree,  but they shake hands and move on. 
We don't all agree, but we can respect each other.  Great moment of humanity.",0.98720795,C,positive
"The first time I saw this I was really impressed by how warm Dr. Dawkins is towards Brandon Flowers towards the end of the conversation right before he leaves to prep for the band__ set. He had just finished saying some things that were probably deeply offensive to Brandon Flowers, and yet I was struck by the way he turned that around and showed real manners. What a cool, sharp guy.",0.81864291,C,positive
"I love how even though Dawkins was adamant about his educated viewpoint, he realized that it was insulting that Brandon had to leave without the right to respond or argue his side. The professor profusely apologized upon realising the singer had to leave. And that's a sign of how moral the guy is no matter what some people think. The humanity in him makes me appreciate the man immensely.",0.9754318,C,positive
"I love The Killers, but Brandon sitting there on the edge of tears over what Dawkins is saying is just proof that religion is a warm blanket and doesn't hold up well when put to the test.",0.56631702,C,neutral
"I absolutely love Richard Dawkins. A true gentleman, and a truly brilliant mind.",0.93902618,C,positive
"I listened to this again and was interested in the line about what you would tell a five year old child about their pet dying .
This seemed to be brought in as a kind of emotional blackmail argument to support religious indoctrination .
It reminded me of how when I started school I was told about this weird idea of a place which for some reason I had committed some kind of original sin and would be excluded from unless I grovelled to a person who got nailed up to a tree about two thousand years ago . 
And then there was no guarantee that I would be accepted to sing eternal praise for a deity .
Thanks religion , that didn't fill me with any kind of distorted fears at all , you were a real comfort to me as a five year old who had no idea what all of it was about .",0.61983711,C,neutrally positive
"Dawkins is so sharp and precise in his arguments, it's so satisfying to listen to.  I think being religious is akin to being in the matrix.  Any other possibilities is a threat to their reality.  Any loving parents would shy away from the sort of indoctrination instilled into young kids by religious groups like the mormons.  Even if the teachings are benign in nature, often religious stories and figures are mixed in with lessons.  young minds should be allowed to be blank canvas until they are more mature.",0.92907512,C,positive
I like how Prof Dawkins is straight to the point and is not afraid to challenge faulty logic when he sees it.,0.682217,C,neutrally positive
"What I like most with these Richard Dawkins videos, isn't the content being discussed, it's the dignified manner in which they're conducted in.",0.90869385,C,positive
"Thank you Professor Dawkins for a cogent, rational explanation of how many of us feel about science and religion. Mr. Flowers please continue your fine singing with The Killers.",0.70461583,C,neutrally positive
Dawkins is 100% right. But that host put Brandon and Dawkins in a very awkward situation. He shouldn't have lead them into a debate if they weren't prepared for it or get a chance to finish it.,0.64335442,C,neutrally positive
"Richard is such a gentleman, he's always very respectful of everyone as a person, even though they believe in nonsense and disregard all his knowledge and wisdom as if it was nothing.",0.66452187,C,neutrally positive
Start building your ideal daily routine ____ The first 100 people who click on the link will get 25% OFF __ Fabulous Premium _ https://thefab.co/scimandan3,0.94594586,C,positive
"I only recently found out that Albert Einstein was a real person..

All this time I thought he was only a theoretical physicist.",0.78423089,C,neutrally positive
"""If gravity is real, why can I jump?""
NEWTON DESTROYED WITH FACTS AND LOGIC.",0.67491138,C,neutrally positive
If only someone had bought Einstein a magnet. Imagine the world we could be living in today!,0.53248155,C,neutral
"To be fair; when I was in my early 20's I had some 'insights' into mathematics that seemed to go against what was accepted. I took a maths degree in order to understand. As a result, I discovered where I had gone wrong. I believe it's never too late to learn. I respectfully suggest to this man that he takes courses in maths and physics and when he is qualified he can challenge accepted ideas.",0.8283726,C,positive
"I love how he begins by debunking all of modern mathematics, and then proceeds to use math to disprove everything else",0.59369081,C,neutral
"If someone starts the story with ""I talked to a group of very high level people"", you instantly know it's fiction.",0.5546214,C,neutral
"Yikes, this guy is amazing! Fusion, with a magnet on a white board, the scientific community going, ""jeez, how did we miss that?"" He claims he did this at 28, but looks a good bit older than that, why don't we have fusion yet? Why have I never heard of you? It's not like disproving Einstein et al, is a small accomplishment. Does the hospital know you're out...?",0.34530252,C,neutrally negative
I debunked Einstein a few years back with my experiment proving that time dilation happens when not moving or near a high gravitational field. Two hours of listening to an Eric Dubay video felt like 5-hours. Einstein debunked. I__l collect my Nobel now please_,0.49300012,C,neutral
"This is hilarious.

It kinda reminds me of a guy I used to work with who claimed to have figured out free electricity using perpetual motion. He explained his design to me and I poked so many holes in it. It literally required power to power it. He basically designed an electrical electrical generator. Lol",0.78086627,C,neutrally positive
"Even when he is wrong about everything he still contradicts himself.
He claimed the magnet doesn't fall down so it doesn't have a mass and later says its free energy because it is stuck to the wall. If it has no mass than it doesn't need any energy to stick to the wall.",0.87544447,C,positive
"That__ nothing!  I proved that Tesla was illiterate, Stephen Hawking was a woman, and that Carl Sagan never existed!  Well, I wrote it on a whiteboard, so it has to be true! __",0.08914374,C,negative
"My favorite part has got to be when he put the magnet on the drawing of a graph, and somehow thought that meant the magnet__ actual weight would be 0 IN REAL LIFE.",0.78501886,C,neutrally positive
I watched all of the original video and the last few minutes indicate to me that this man is very troubled and I feel very sorry for him. Yes he's accidentally hilariously funny but after seeing the end bit I actually felt a bit guilty for all the belly laughs I had had whilst watching the preceding part. I hope that he finds peace.,0.76011658,C,neutrally positive
This is... amazing.  I suppose he wouldn't be the first person confused by magnets. Yeah I want to see more of this.,0.9481324,C,positive
"This is an amazing display of satire, the guy is a comedic genius.",0.9493798,C,positive
This guy's either a master level parody or the most confident insane man on earth.,0.40015036,C,neutral
"So glad you've taken on this tosspot - I watched him once, made it to six minutes into his talk and even in the first minute I'd seen five things that ruined his credentials. Impossible to take this guy seriously. I mean yes he'd been rejected by his bosses but this was just ridiculous. Thanks for debunking him, Dan.",0.05615403,C,negative
"Comedy or not, I've never laughed more in my life. When you least expect it, he brings in the magnets to prove everyone wrong, I love it",0.97501481,C,positive
I've been a cold-fusion engineer for years (fridge magnets) and never realized it.,0.6672129,C,neutrally positive
I forgot to add this is a great start of video and well laid out and interesting to watch. I don't understand why we are not taught this in school.,0.96630549,C,positive
"Watch this short animation about the UK Parliament, how laws are made, holding Government to account and how you can get your voice heard.",0.71085924,C,neutrally positive
"Ive always wanted to know the deeper workings of government how the system works, while inefficient, it is the most democratic system we have , It was very well presented",0.95379108,C,positive
"Are the ""House of Lords"" members elected or selected?",0.87451696,C,positive
"I think a lot more people be interested in politics and understanding how it works now the brexit become a talking point for all ages.

If it's possible I would definitely suggest a change in the title to this video as it doesn't entice you to watch.
Something like a quick start guide to how politics works..... Unless you want another brexit fiasco to happen again",0.47714457,C,neutral
What is a mp,0.76011556,C,neutrally positive
only 6 comments,0.31481534,C,neutrally negative
I appreciate the diversity in the figurines.,0.87405407,C,positive
hello :D,0.42510012,C,neutral
"Girl: what are you thinking? 
Guy: nothing.
Girl: tell me
Guy: if our son becomes a priest, should I call him father or son?",0.67441547,C,neutrally positive
"If a woman asks a man what's wrong and he says ""nothing"" then it's usually nothing, but if a man asks a woman what's wrong and she says ""nothing"" then you're in deep shit.",0.59054631,C,neutral
"Her: ""What are you thinking about?""
Him: Nothing...
Actually Him: If I clean a vacuum cleaner, do I *become* the vacuum cleaner?",0.39665782,C,neutrally negative
I laughed my ass off at Joe's response: I don't know what you understand about us __,0.47642666,C,neutral
"I've been married 53 years. ONE LESSON for all men. NEVER, NEVER ask...""What's wrong?""  That becomes like opening a trick can with a SNAKE in it that jumps out to EAT YOU.",0.35072523,C,neutrally negative
"""Never underestimate the capacity of a Man to be thinking absolutely nothing or just be planning what they would do if Ninja's attacked.""",0.60813761,C,neutrally positive
"One of the most underrated aspects of this video is the idea being grateful for your health. Unless you__e had it taken away, or it__ been significantly limited, you don__ realize how precious of a thing being healthy is.",0.15587971,C,negative
"When choosing a woman who works, you have to accept that she can't handle the house.
If you have chosen a housewife who can take care of you and fully manage your household, you have to accept that she is not earning money.
If you choose an obedient woman, you must accept that she depends on you and you must ensure her life.
If you decide to be with a strong woman, you have to accept that she is tough and she has her own opinion.
If you choose a beautiful woman, then you will have to accept big expenses.
If you decide to be with a successful woman, you must understand that she has character and has her own goals and ambitions.
There are no such things as perfect. Everyone has their own riddle, which makes us unique",0.94289935,C,positive
"I came here for the video but enjoyed and laughed reading the comments instead.
This comment section is pure Gold _¤ï_",0.73879051,C,neutrally positive
"I used to date this girl that loved to ask me __hat are you thinking about?_ Like at random moments: eating, driving, sitting around. And my answer was almost always __othing_ And she would always get so frustrated and just wouldn__ understand and would get mad that I__ not talking about my feelings or something. I__ literally just vibing all the time. Chill out girl.",0.14589605,C,negative
"Girl: __hat are you thinking about?_

Man: __f a picture is worth a thousand words, why can__ we judge a book by its cover?___",0.41182053,C,neutral
1:12 My disappointment of Joe not saying __heeseburgers_ followed by a comically timed __hhhhh_ has led me to a depression so deep I didn__ know it was possible,0.4506911,C,neutral
"When I was a teenager and we would go out __ruising chicks _, every guy including me if a girl passed by in a car we would notice her, if a guy passes by and girls were watching and looking, they noticed his car. This sums up everything between men and women",0.82836056,C,positive
"""Never try to understand women. Women understand women and they hate each other."" Al Bundy",0.60563707,C,neutrally positive
"I like that she is talking about managing a conflict,and not immediately taking offense or taking issues personally. Narcissistic, insecure people (of both sexes) take things personally, because narcissism is everything is all about you all the time. I like that. I like that she thinks in a problem solving way, rather than ratcheting the drama up",0.92232329,C,positive
"Girl: __hat are you thinking about?_
Guy: __uzz lightyear denied being a toy, but still froze when humans were around_",0.60463703,C,neutrally positive
Thank you for all the funny comments about what men might be thinking.. I'm gonna use some of these next time I get asked! LOL My wife is wonderful and we'll definitely have a good laugh together. __,0.86526829,C,positive
"Ladies also try to __ut macho_ each other. Some may say that it manifests as gossip, publicly tearing down each other__ characters, nastiness etc. 
When u think about it, both males and females can be pretty dumb. Men hurt themselves or each other physically, women do it emotionally",0.52391821,C,neutral
"Her: __hat are you thinking about_

Him:__he fact that I__ born means I won a battle royale against millions of other sperm_",0.71514112,C,neutrally positive
__spire to be the person you pretend to be when you__e trying to get laid_ words to live by,0.77019006,C,neutrally positive
The interviewer was a consummate professional. Admire the way she remained in full control of the flow of the conversation without dominating. It allowed Mr. Hitchens to clearly articulate his points without being cut short. Same with the calls. Good interview.,0.86833954,C,positive
"What informative, high-quality television. I can't imagine a call-in show now where Americans would discuss politics across ideological lines with such civility and intelligence. Today it would be all hateful name-calling and lies flying back and forth. And who can take the place of Christopher Hitchens?  A light went out of the world when he died.  I miss him.",0.76524138,C,neutrally positive
"He was a good listener, too. The most intelligent people always are.",0.81912208,C,positive
This guy is truly unbelievable. You are so sorely missed Christopher :(,0.89138663,C,positive
"His intellect, articulation, debating skills , writing and put-downs are off the chain .
Miss him so much . He is needed today more than ever.",0.87844652,C,positive
"Imagine calling into cable news today, asking detailed and well-informed questions, and then seeing the moderator allowing detailed essay-like responses from the interview subject. A different era.",0.8200165,C,positive
I could listen to Christopher talk about absolutely anything for hours on end.,0.52426994,C,neutral
"What amazes me is the depth of knowledge that the callers have, and how respectfully they ask questions. By today's standards of call in shows, it demonstrates a decline in our intellectual discourse and our educational system rit large.",0.88118386,C,positive
I recently discovered Christopher!! He is alive and well to me! What a class act __,0.18859465,C,negative
"As a South African, I really admire how considered and informed he is in this interview.",0.96732485,C,positive
"At 11:00 ... it becomes apparent that Hitch not only has an encyclopedic mind, but he can explain things in a way that anyone can understand.  His intellect is missed.",0.46849117,C,neutral
Legends like him must never be forgotten,0.79572463,C,neutrally positive
"The presenter is very good, no nonsense and on the ball.",0.82265586,C,positive
"It's wild to see how he was just as sharp, salient, clear, and clever as he was 20 years later when I first discovered him as a young man. He was a truly remarkable human, and though he was not without flaws, he certainly left this earth having made an invaluable contribution to modern culture.",0.94652349,C,positive
"RIP Hitch. RIP real journalism _ depth, breadth, allowing the interviewee to lead the conversation, not trying to score points on the caller or guest. 

Forcing news to be profitable allowed news-tainment to take over and made the US stupider.",0.73186165,C,neutrally positive
"Had to watch this two times, second was to grasp what the issue was, first time was me just sitting here going __mg... a civil conversation..._ it felt like a hot bath just listening to adults behaving like adults again and bringing up genuinely troubling issues instead of focusing on race alone. Phenomenal. Also, miss you, Hitchens, I__ everything you disagreed with religiously and politically but god damn it__ feeling good and tingly in my head to hear someone who__ fierce yet respectful in his opinions and can command the attention and conversation to enlightening ends, no matter what they may be.",0.70513296,C,neutrally positive
"This is the first time I have ever seen this era of Hitchens - soooooo endearing, such a combination of intellect, experience and accomplishment, but yet so humble, approachable and giving - he works so hard to answer the callers questions, in the most responsible and honest way he can, without ego, bias or agenda. Amazing...",0.96470112,C,positive
This is the kind of journalism we should try to go back to.,0.65379572,C,neutrally positive
"Why aren't more interviews like this? Even at times that I am sure someone will interrupt, they don't. It's great to be able to hear multiple points of view clearly without everything being reduced to a yelling match.",0.8972761,C,positive
"Oh, Hitch! So young (36) such a beautiful mind, through his books and discourses, he thought me to think for myself to search and discover, his unbelievable intellect and the work he's left behind assure his immortality, may his mellifluous voice continue to educate free thinkers until the end of human extinction. Christopher Hitchens sorely missed.",0.9008401,C,positive
"""I know there was a joke somewhere, but I must have missed it.""

Hitchens was the absolute best.",0.933231,C,positive
"Hitchens never fails to astound me with his unwavering cool and absolute brilliance. Irreplaceable, in my view.",0.96504408,C,positive
"Even young, the man had more class, humility and intellectual honesty than ANY other speaker he faces.",0.93994743,C,positive
"Tyrrell is introduced as the funniest political essayist to come along in years, but Hitchens gets all the laughs.",0.83217651,C,positive
Hitchen's is just a treat to listen to. I could listen to him all day.,0.83740121,C,positive
"Part of what makes this discussion so rewarding is the dance of respect and understanding that Hitchens and Buckley undertake. As for the insufferable troll on the end, we__l, three__ a crowd.",0.96047419,C,positive
"It is hilarious that anyone would dare to accuse Hitchens of not understanding a situation (25.34) when he was one of the most erudite, informed human beings we have had the privilege to hear. Seeing him in action is a tonic. He is sorely missed.",0.92119652,C,positive
"HItchens was a rather brilliant intellectual. I always sense this melancholy in him that perhaps didn't make him any favours. Later in his life he argued his views more desperately , not always successfully. All in all he is class all of his own and his reasoning very much  missed in this day and age",0.98838264,C,positive
"""Terminological inexactitude is not what you meant to say, is it?""
How is this line never included in Hitchens' best cuts ever? 
This is genius-level trash talk.
His poise is incomparable.
Final observation: Conservatives defending Nixon. The GOP has never really changed.",0.09824152,C,negative
"Tyrrell is hillarious.   Every time I think some of the modern conservatives are a little on the deep end, I listen to Tyrrell and realize it has been happening for a long time.    I consider William F/ Buckley Jr a hero of mine and started watching him in high school.   I did not agree with Mr. Buckley on many things.   Tyrrell is not fit for debates on Firing Line because he is like a lot of current conservatives accusing, arrogant, disrupting and accusatory.    He takes out of context just about everything that Christopher says  or things.  Mr. Buckley at least has a honest debate on ideas, and that is why I love him.  

Interesting that Tyrrell calls everyone who does not think like him a phanatic.   Hitchens is cool and competent as is Buckley and are highly enjoyable.   Tyrrell is the precursor to FOX news.",0.97809178,C,positive
"Hitchens while criticizing sections of Tyrell's book: ""I'm glad I didn't write it myself"", and ""I seem to have read your book more carefully than you have"". Priceless....",0.82267582,C,positive
"__ don__ blame you for trying to change the subject_, the essence of C. Hitchens. Polite with a big punch in the face.",0.79152304,C,neutrally positive
"Hitchens was an immense talent, and as being one that has come to fully appreciate them now as he has passed on, I couldn't be happier to view his talent in motion picture from its beginnings! Thanks for Posting!!!! :-)",0.70149171,C,neutrally positive
"Hitchens unleashed like Robin Hoods arrow, straight & true, an extraordinary intellectual community educator. All class ! Greatly missed.",0.894059,C,positive
Do we even have columnists who can shoot off history like this today? I can't imagine many of New York Times's darlings being this sharp in a debate.,0.55946505,C,neutral
no matter how far back you go hitchens is always spot on,0.93829584,C,positive
"""That's like saying if your aunt had cojones she would be your uncle"", Hitchens is my hero. I am just glad that after all his books there is still all this type footage for me to enjoy!",0.88756657,C,positive
What's impressive here is that Buckley lets his guests speak and remains silent for many minutes at a time. No television show would feature this kind of edit or production anymore.,0.60628778,C,neutrally positive
"44:26

Hitches come back with chattle slavery was beautiful 

I'm sure I'm not the only person who misses a man he never met in person",0.94741946,C,positive
I didn't know Norm MacDonald was on Firing Line.,0.67242718,C,neutrally positive
"He knew where the line was, and he walked it like a cat walk, attacking everyone and no one at the same time. Genius",0.33893427,C,neutrally negative
"____ not a murderer, some of my best friends are alive_ is a line you__ think would only be in a comedy skit, but deadset (no pun intended lol) there was a female murderer in the US who literally tried to convince the police she didn__ murder her boyfriend by saying __ut all my ex boyfriends are alive! _",0.20899379,C,neutrally negative
"""I'm not a murderer! Some of my best friends are alive!""
""I'm not a pedophile! Some of my best friends are- no, that makes it worse, doesn't it?""
What a genius...",0.33285055,C,neutrally negative
RIP Sean Lock one of the funniest comedians ever.,0.93028688,C,positive
Rest in peace you absolute legend. The laughter you've cultivated will echo for years on from your passing.,0.8414064,C,positive
"I like how he's making fun of political correctness, but also  parodying people who make fun of political correctness.

Edit: RIP Sean",0.6968137,C,neutrally positive
Sean was a genius. He is thoroughly missed.,0.93728155,C,positive
I__e never seen a comedian on a panel show so bizarre and quick-witted as Sean Lock. He__ the person who always had me belly laughing. Thanks for the laughs Sean.,0.84839642,C,positive
I still remember the night I learnt of his passing. I sat quietly for few minutes not knowing how to react to it. Sean Lock has been part of my life for almost 10 years now. I've watched almost all his panel shows and now I'm intrigued with his stand ups. What a legend you're sir.,0.88454062,C,positive
"The irony that people like me, outside of UK, would discover him now maybe because of him past away. But it also means that more people get to appreciate his great work! It's easy to tell that he is one of the better comedians!",0.98040867,C,positive
"He cracks me up. I've got tears in my eye from laughing. He's so funny. RIP Sean, you'll be missed.",0.74477291,C,neutrally positive
RIP. He was my absolute favourite on Cats Does Countdown... the show will never be the same without him,0.70244324,C,neutrally positive
"This is a perfect example of ""you don't know what you've got until it's gone"".  I had heard of him, but I didn't know much about him.  I heard about his untimely death and came to YouTube to find out more.  Absolutely hilarious.  Everything I've watched with him has been funny.  I can't say that about many comedians.  I am sorry I didn't get to know about him while he was still around.  This performance is just brilliant - as Hazibo said, there is a line.  He teetered over it once or twice but never crossed it!  RIP Sean.",0.95574975,C,positive
A brilliant comedian who will be sorely missed. I__e laughed at his comedy more than Anyone else__. He was a true genius.,0.97650957,C,positive
What a genius. He really was one of a kind. Comedy will not be the same without Sean. RIP legend.,0.7215507,C,neutrally positive
"RIP you hilarious man, grew up watching Sean lock on 8 out of 10 cats and other panel shows, always been one of my favourites, old school comedian with his own style of comedy. His family should be proud.",0.94031149,C,positive
Just found out he passed away to cancer and I'm rewatching this with tears in my eyes.,0.87519383,C,positive
"Now that's a f*cking stand up comedian. Smart punch lines, just mildly edgy, and a small touch of physical comedy. Got all the ingredients right",0.80765563,C,positive
"This is what you call comedy, playing about with the boundaries and sensibilities and doing it well",0.95886153,C,positive
He was making me laugh so hard I got almost to the end of the video before I remembered he had passed away. He is still making people laugh and smile after he is already passed.  Rip,0.65548652,C,neutrally positive
"Just let the man be. He doesn't need recognition, helping others is just his nature.",0.68152845,C,neutrally positive
Never underestimate anyone; even if they are old.  This old man saved the day.,0.88049316,C,positive
"It sounds like he didn't want to get involved beyond helping the officer.
How refreshing that there's still good guys out there who will help out but bypass the public accolades afterwards.",0.90429688,C,positive
"To the man that helped the officer, Thank you for being a good person!",0.69500124,C,neutrally positive
"The man whoever he maybe is a TRUE HERO, because he did what needed to be done and then went on with his life.  Let him be and I am sure that if he weere to see just this video and read some of the comments here would be all the praise he wants.  To the man that helped, thank you for supporting our police and helping, I just wish that there were more people like you.",0.80248189,C,positive
The true mark of a Good Samaritan. Doesn__ want the fame and glory just wanted to help his fellow man. We need more like him.,0.71857709,C,neutrally positive
